2026/08/11 17:33:40.304, 1444 MiB, 30663 MiB, 4 %
2026/08/11 17:34:49.316, 25307 MiB, 6800 MiB, 89 %
2026/08/11 17:34:50.317, 25307 MiB, 6800 MiB, 94 %
2026/08/11 17:34:51.317, 25307 MiB, 6800 MiB, 81 %
2026/08/11 17:34:52.317, 25307 MiB, 6800 MiB, 22 %
2026/08/11 17:34:53.317, 25317 MiB, 6790 MiB, 82 %
2026/08/11 17:34:54.317, 25307 MiB, 6800 MiB, 95 %
2026/08/11 17:34:55.317, 25307 MiB, 6800 MiB, 34 %
2026/08/11 17:34:56.317, 25307 MiB, 6800 MiB, 94 %
2026/08/11 17:34:57.317, 25317 MiB, 6790 MiB, 83 %
2026/08/11 17:34:58.318, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:34:59.318, 25307 MiB, 6800 MiB, 80 %
2026/08/11 17:35:00.318, 25307 MiB, 6800 MiB, 94 %
2026/08/11 17:35:01.318, 25307 MiB, 6800 MiB, 50 %
2026/08/11 17:35:02.318, 25307 MiB, 6800 MiB, 93 %
2026/08/11 17:35:03.318, 25317 MiB, 6790 MiB, 82 %
2026/08/11 17:35:04.318, 25307 MiB, 6800 MiB, 89 %
2026/08/11 17:35:05.318, 25307 MiB, 6800 MiB, 81 %
2026/08/11 17:35:06.318, 25307 MiB, 6800 MiB, 94 %
2026/08/11 17:35:07.319, 25307 MiB, 6800 MiB, 92 %
2026/08/11 17:35:08.319, 25307 MiB, 6800 MiB, 89 %
2026/08/11 17:35:09.319, 25307 MiB, 6800 MiB, 62 %
2026/08/11 17:35:10.319, 25307 MiB, 6800 MiB, 89 %
2026/08/11 17:35:11.319, 25307 MiB, 6800 MiB, 82 %
2026/08/11 17:35:12.319, 25317 MiB, 6790 MiB, 94 %
2026/08/11 17:35:13.319, 25307 MiB, 6800 MiB, 93 %
2026/08/11 17:35:14.319, 25307 MiB, 6800 MiB, 90 %
2026/08/11 17:35:15.319, 25307 MiB, 6800 MiB, 82 %
2026/08/11 17:35:16.320, 25307 MiB, 6800 MiB, 34 %
2026/08/11 17:35:17.320, 25307 MiB, 6800 MiB, 17 %
2026/08/11 17:35:18.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:19.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:20.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:21.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:22.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:23.320, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:24.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:25.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:26.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:27.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:28.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:29.321, 25307 MiB, 6800 MiB, 3 %
2026/08/11 17:35:30.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:31.321, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:32.322, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:33.322, 25307 MiB, 6800 MiB, 3 %
2026/08/11 17:35:34.322, 25307 MiB, 6800 MiB, 3 %
2026/08/11 17:35:35.322, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:36.322, 25307 MiB, 6800 MiB, 3 %
2026/08/11 17:35:37.322, 25307 MiB, 6800 MiB, 4 %
2026/08/11 17:35:38.322, 25307 MiB, 6800 MiB, 3 %
2026/08/11 17:35:39.322, 25307 MiB, 6800 MiB, 3 %
